"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC"
1,-4.68048153003498,-1.4119570593781,-1.69310113117083,"HomeImp","Other",0.208214286034591,0,0,-1.00425286590723,1,-1.21960141759521,-2.7902037664624e-15
1,-4.3893071990538,0.183530959652677,-0.566755932928752,"HomeImp","Other",-0.267218309962554,0,2,-0.680752501487522,0,-0.72677099672684,-2.7902037664624e-15
1,-4.13985320154271,-2.45259070817557,-3.39671022691836,"HomeImp","Other",-0.674731963674393,0,0,-0.355289149297666,1,-1.12103533342154,-2.7902037664624e-15
0,-3.92164863541386,0.717748498099533,0.423023067975822,"HomeImp","Office",-0.810569848245006,0,0,-1.01642338933541,0,-0.72677099672684,-2.7902037664624e-15
1,-3.92164863541386,-1.14522982650219,-1.6275782293017,"HomeImp","Other",0.00445745917867192,0,0,-0.920637421542375,1,-1.31816750176889,0.412465972862582
1,-3.82199540808074,-0.400232676385172,-0.931398933127711,"HomeImp","Other",-0.53889407910378,3,2,-1.20761838628953,1,-0.431072744205816,-2.7902037664624e-15
1,-3.82199540808074,-1.25621830867347,-1.49682819424879,"HomeImp","Other",0.276133228319898,0,0,-1.07021675093669,0,-1.31816750176889,0.382527641659859
1,-3.63829573607533,-1.03624088762545,-1.3310194851076,"HomeImp","Other",-0.810569848245006,0,2,0.439328250712291,1,-0.923903165074188,-2.7902037664624e-15
1,-3.63829573607533,0.270874213613991,-0.755857628901605,"HomeImp","Sales",0.955322651172963,0,0,-0.751812654321787,0,-0.825337080900514,-2.7902037664624e-15
1,-3.63829573607533,-1.77393155825702,-2.23440849344582,"HomeImp","Office",0.276133228319898,0,1,-0.672507953364075,1,-1.21960141759521,-2.7902037664624e-15
1,-3.63829573607533,-0.525061359575059,-1.00439256381481,"HomeImp","Other",-0.810569848245006,0,0,-1.10200965079954,2,0.357455929183579,-2.7902037664624e-15
0,-3.63829573607533,0.0522011230916199,-0.0747585671054856,"missing_value","Mgr",-0.878488790530312,0,0,-0.382770976454344,0,0.258889845009904,-2.7902037664624e-15
1,-3.55322507097702,0.205029107251637,-0.157986713418975,"HomeImp","Other",-0.131380425391941,0,1,-0.667011587909183,0,-0.529638828379491,-2.7902037664624e-15
1,-3.47211080157721,-1.51288984429741,-1.92961519808032,"HomeImp","Other",2.4129655530667e-16,0,1,1.42788883054515,0,-1.31816750176889,-2.7902037664624e-15
1,-3.47211080157721,0.60161372949437,0.247073838579854,"HomeImp","Mgr",-0.267218309962554,2,6,-0.668189380498247,1,0.0617576766625556,-2.7902037664624e-15
1,-3.39460122263389,-1.27372671526066,-1.63605870225709,"HomeImp","Other",-0.606813021389086,0,0,-1.47262171882892,1,-0.529638828379491,-2.7902037664624e-15
0,-3.39460122263389,0.790866003385932,0.577379883499685,"HomeImp","Office",-0.946407732815619,0,0,-1.04399315668198,0,-0.825337080900514,-0.310745689459417
1,-3.39460122263389,-0.811588571606671,-1.35434342610888,"HomeImp","Other",-0.810569848245006,0,1,-0.675648733523059,1,-0.72677099672684,-2.7902037664624e-15
1,-3.32038953734801,-0.356378189830755,-0.425286215331564,"HomeImp","ProfExe",-0.53889407910378,1,0,-3.01273908620929e-15,1,-2.10669617515828,-2.7902037664624e-15
1,-3.32038953734801,-1.28466743751284,-1.60382498378392,"HomeImp","Mgr",0.411971112890511,0,0,-1.32421985260687,2,0.0617576766625556,-2.7902037664624e-15
1,-3.32038953734801,-1.99202895555114,0.250267345463823,"HomeImp","Mgr",1.77034995859664,0,2,-0.681930294076586,0,-1.12103533342154,-2.7902037664624e-15
1,-3.32038953734801,0.270874213613991,-3.33983586240541,"HomeImp","Other",2.4129655530667e-16,0,0,-1.94413135198026,3,-1.71243183846358,-2.7902037664624e-15
1,-3.32038953734801,-0.933695485856417,-1.29987145682049,"HomeImp","Mgr",0.411971112890511,0,0,-1.28545775588981,1,-0.0368084075111188,0.562994030735393
0,-3.32038953734801,0.728337802261416,0.514028290108437,"HomeImp","Office",-0.674731963674393,0,0,-1.01078834054629,0,-0.825337080900514,-0.560320869106165
1,-3.24920652280519,-2.28391583937688,-3.01481800724837,"HomeImp","missing_value",1.22699842031419,0,0,-0.513113356232235,1,-0.233940575858468,-2.7902037664624e-15
1,-3.24920652280519,-1.45869332433382,-1.83562337725127,"HomeImp","Other",0.140295343749285,1,2,1.14639640175887,0,-1.21960141759521,-2.7902037664624e-15
0,-3.24920652280519,-3.45248170842903,-1.4288704558156,"HomeImp","Self",2.4129655530667e-16,0,0,0.334112112795172,0,-0.923903165074188,-2.7902037664624e-15
0,-3.24920652280519,0.214203004810353,-0.287764631716176,"HomeImp","ProfExe",-0.131380425391941,0,0,0.896311775269102,0,-0.923903165074188,-2.7902037664624e-15
1,-3.05158461929468,-0.331122365441119,-0.728636281638285,"HomeImp","Self",2.31370149687909,2,15,-0.400437865290303,3,2.32877761265707,-2.7902037664624e-15
1,-3.05158461929468,-4.39981044050863,-0.801513533566385,"HomeImp","Other",0.955322651172963,4,0,-0.789109419681405,2,-1.21960141759521,-2.7902037664624e-15
1,-2.9903909146247,0.367839918356974,0.440864585145794,"DebtCon","ProfExe",-0.403056194533167,1,0,-0.168412725244706,2,0.456022013357253,-2.7902037664624e-15
0,-2.9903909146247,0.815372441672093,0.432052855374008,"HomeImp","Office",-1.08224561738623,0,0,-0.983810355686775,0,-0.825337080900514,-0.511979979653295
0,-2.9903909146247,0.821889628511039,0.573210327614364,"HomeImp","Office",-0.946407732815619,0,0,-0.919762373236016,0,-0.825337080900514,-0.529687153610703
1,-2.9903909146247,-3.34107659615356,-0.578646154126593,"HomeImp","Other",0.955322651172963,3,0,-0.676379010979969,2,-1.31816750176889,0.294363540399778
1,-2.9903909146247,-0.0129633648147058,-0.494279575125208,"DebtCon","Mgr",-0.946407732815619,0,0,1.21512051182076,3,1.54024893926767,1.99535582276684
0,-2.93127127382185,0.824908658264407,0.590216109595326,"HomeImp","Office",-0.946407732815619,0,0,-1.10415670511441,0,-0.72677099672684,-0.249057282686818
1,-2.93127127382185,-3.50401294625457,-3.00490649973831,"HomeImp","Other",-0.810569848245006,0,0,-1.51737783721335,5,-1.21960141759521,-2.7902037664624e-15
