"LOAN","MORTDUE","JOB","DEROG","DELINQ","CLAGE","NINQ","DEBTINC","BAD"
-4.68048153003498,-1.4119570593781,"Other",0,0,-1.00425286590723,1,-2.7902037664624e-15,1
-4.3893071990538,0.183530959652677,"Other",0,2,-0.680752501487522,0,-2.7902037664624e-15,1
-4.13985320154271,-2.45259070817557,"Other",0,0,-0.355289149297666,1,-2.7902037664624e-15,1
-3.92164863541386,0.717748498099533,"Office",0,0,-1.01642338933541,0,-2.7902037664624e-15,0
-3.92164863541386,-1.14522982650219,"Other",0,0,-0.920637421542375,1,0.412465972862582,1
-3.82199540808074,-0.400232676385172,"Other",3,2,-1.20761838628953,1,-2.7902037664624e-15,1
-3.82199540808074,-1.25621830867347,"Other",0,0,-1.07021675093669,0,0.382527641659859,1
-3.63829573607533,-1.03624088762545,"Other",0,2,0.439328250712291,1,-2.7902037664624e-15,1
-3.63829573607533,0.270874213613991,"Sales",0,0,-0.751812654321787,0,-2.7902037664624e-15,1
-3.63829573607533,-1.77393155825702,"Office",0,1,-0.672507953364075,1,-2.7902037664624e-15,1
-3.63829573607533,-0.525061359575059,"Other",0,0,-1.10200965079954,2,-2.7902037664624e-15,1
-3.63829573607533,0.0522011230916199,"Mgr",0,0,-0.382770976454344,0,-2.7902037664624e-15,0
-3.55322507097702,0.205029107251637,"Other",0,1,-0.667011587909183,0,-2.7902037664624e-15,1
-3.47211080157721,-1.51288984429741,"Other",0,1,1.42788883054515,0,-2.7902037664624e-15,1
-3.47211080157721,0.60161372949437,"Mgr",2,6,-0.668189380498247,1,-2.7902037664624e-15,1
-3.39460122263389,-1.27372671526066,"Other",0,0,-1.47262171882892,1,-2.7902037664624e-15,1
-3.39460122263389,0.790866003385932,"Office",0,0,-1.04399315668198,0,-0.310745689459417,0
-3.39460122263389,-0.811588571606671,"Other",0,1,-0.675648733523059,1,-2.7902037664624e-15,1
-3.32038953734801,-0.356378189830755,"ProfExe",1,0,-3.01273908620929e-15,1,-2.7902037664624e-15,1
-3.32038953734801,-1.28466743751284,"Mgr",0,0,-1.32421985260687,2,-2.7902037664624e-15,1
-3.32038953734801,-1.99202895555114,"Mgr",0,2,-0.681930294076586,0,-2.7902037664624e-15,1
-3.32038953734801,0.270874213613991,"Other",0,0,-1.94413135198026,3,-2.7902037664624e-15,1
-3.32038953734801,-0.933695485856417,"Mgr",0,0,-1.28545775588981,1,0.562994030735393,1
-3.32038953734801,0.728337802261416,"Office",0,0,-1.01078834054629,0,-0.560320869106165,0
-3.24920652280519,-2.28391583937688,"missing_value",0,0,-0.513113356232235,1,-2.7902037664624e-15,1
-3.24920652280519,-1.45869332433382,"Other",1,2,1.14639640175887,0,-2.7902037664624e-15,1
-3.24920652280519,-3.45248170842903,"Self",0,0,0.334112112795172,0,-2.7902037664624e-15,0
-3.24920652280519,0.214203004810353,"ProfExe",0,0,0.896311775269102,0,-2.7902037664624e-15,0
-3.05158461929468,-0.331122365441119,"Self",2,15,-0.400437865290303,3,-2.7902037664624e-15,1
-3.05158461929468,-4.39981044050863,"Other",4,0,-0.789109419681405,2,-2.7902037664624e-15,1
-2.9903909146247,0.367839918356974,"ProfExe",1,0,-0.168412725244706,2,-2.7902037664624e-15,1
-2.9903909146247,0.815372441672093,"Office",0,0,-0.983810355686775,0,-0.511979979653295,0
-2.9903909146247,0.821889628511039,"Office",0,0,-0.919762373236016,0,-0.529687153610703,0
-2.9903909146247,-3.34107659615356,"Other",3,0,-0.676379010979969,2,0.294363540399778,1
-2.9903909146247,-0.0129633648147058,"Mgr",0,0,1.21512051182076,3,1.99535582276684,1
-2.93127127382185,0.824908658264407,"Office",0,0,-1.10415670511441,0,-0.249057282686818,0
-2.93127127382185,-3.50401294625457,"Other",0,0,-1.51737783721335,5,-2.7902037664624e-15,1
-2.93127127382185,0.270874213613991,"Other",0,1,-1.19976643569185,0,-2.7902037664624e-15,1
-2.93127127382185,0.270874213613991,"Other",0,1,-1.84127079920594,1,-2.7902037664624e-15,1
-2.93127127382185,1.04294314272492,"Other",0,0,-0.584173213205001,0,-2.7902037664624e-15,1
-2.93127127382185,-1.82335112222289,"Other",0,0,0.0875608641903783,0,-2.7902037664624e-15,1
-2.93127127382185,0.270874213613991,"Other",0,0,-2.00616176167489,14,-2.7902037664624e-15,1
-2.93127127382185,0.270874213613991,"Other",0,0,-0.888436594653205,0,-2.7902037664624e-15,1
-2.93127127382185,-0.455441334720577,"ProfExe",0,1,0.972083098577402,5,-2.7902037664624e-15,1
-2.93127127382185,-0.948504899958566,"Mgr",0,2,-1.3811464944077,0,-2.7902037664624e-15,1
-2.93127127382185,-0.118755780003538,"Mgr",0,2,0.380438621259094,0,-2.7902037664624e-15,0
-2.93127127382185,-0.455441334720577,"Office",0,0,0.261874167371843,0,-2.7902037664624e-15,0
-2.8740896994837,-0.730168031329657,"Other",0,0,-0.311710823502299,1,-2.7902037664624e-15,1
-2.81872314680273,0.132326838520314,"Mgr",0,1,0.315580748461367,0,0.805422374457181,0
-2.81872314680273,-0.401747225678795,"ProfExe",0,4,-0.678396916309394,1,-2.7902037664624e-15,1
-2.81872314680273,-1.33107605196035,"Other",0,0,1.39567499434794,0,0.208259325495096,1
-2.81872314680273,-0.233162617137005,"Other",0,0,-0.680359903879315,3,-2.7902037664624e-15,1
-2.81872314680273,0.289872432455601,"ProfExe",0,0,0.836220042292231,0,1.17118608342657,0
-2.81872314680273,-1.58856714752521,"Mgr",0,2,-0.728189104906957,0,-4.37688163951968,1
-2.76505992922001,1.13024039121388,"Sales",1,0,-0.478564773658952,0,-2.7902037664624e-15,1
-2.76505992922001,1.17978393559885,"Other",0,6,0.149070873684955,0,0.231430485828026,1
-2.71299836208503,-0.838449173374644,"Office",0,1,0.0431963493572108,0,-2.7902037664624e-15,1
-2.66244560291864,-1.5857353369699,"Other",0,0,-0.203353905308416,0,-2.7902037664624e-15,1
